Type de bien,Localisation,Salles de bains,Superficie,Prix,Chambres
Appartement,Tunis,2,140,360000.0,3.0
Appartement,Tunis,1,93,380000.0,2.0
Appartement,Tunis,2,194,880000.0,3.0
Appartement,Tunis,4,260,880000.0,6.0
Villa,Ariana,4,227,950000.0,5.0
Villa,Ariana,0,300,980000.0,4.0
Appartement,Tunis,0,386,262999.0,0.0
Appartement,Tunis,2,185,440000.0,3.0
Villa,Ariana,5,1900,4.0,8.0
Villa,Ariana,0,1500,1400000.0,0.0
Appartement,Tunis,0,145,295000.0,3.0
Villa,Ben Arous,0,524,650000.0,3.0
Appartement,Tunis,2,145,280000.0,3.0
Appartement,Tunis,2,145,280000.0,3.0
Maison,Ben Arous,1,112,98000.0,2.0
Appartement,La Manouba,1,115,229000.0,3.0
Appartement,La Manouba,2,162,375000.0,3.0
Appartement,La Manouba,1,103,225000.0,2.0
Appartement,Tunis,2,208,1300000.0,3.0
Maison,Ben Arous,2,120,650000.0,5.0
Appartement,Tunis,4,275,417499.0,5.0
Villa,Tunis,6,600,1800000000.0,8.0
Villa,Ariana,4,2200,2600000.0,5.0
Appartement,Tunis,4,300,980000.0,4.0
Appartement,Tunis,1,90,245000.0,2.0
Appartement,Ariana,2,147,345000.0,1.0
Appartement,Ariana,0,216,400000.0,3.0
Maison,Tunis,4,60,270000.0,5.0
Appartement,Ariana,02,120,340.0,2.0
Appartement,Sousse,1,60,180000.0,1.0
Villa,Sousse,3,170,540000.0,4.0
Appartement,Sousse,1,200,399999.0,2.0
Appartement,Sousse,1,67,165000.0,2.0
Maison,Tunis,3,260,320000.0,5.0
Appartement,Ariana,3,205,600000.0,4.0
Appartement,Tunis,1,109,215000.0,2.0
Appartement,Tunis,1,109,210000.0,2.0
Appartement,Ariana,2,120,175000.0,2.0
Maison,Sousse,2,176,185000.0,2.0
Villa,Sousse,5,400,1350000.0,7.0
Appartement,Sousse,1,134,250000.0,3.0
Villa,Sousse,3,310,880000.0,4.0
Appartement,Sousse,1,145,185000.0,1.0
Appartement,Sousse,1,65,200000.0,1.0
Appartement,Sousse,7,319,720000.0,10.0
Appartement,Tunis,1,97,215000.0,2.0
Appartement,Tunis,2,150,408000.0,3.0
Appartement,Tunis,1,109,215000.0,2.0
Villa,Sousse,3,9000,1450000.0,5.0
Villa,Sousse,2,400,435000.0,2.0
Villa,Tunis,2,463,749000.0,6.0
Appartement,Tunis,2,147.6,370000.0,3.0
Appartement,Tunis,1,64,205000.0,1.0
Appartement,Tunis,5,55,180000.0,1.0
Appartement,Mahdia,1,75.4,259000.0,2.0
Appartement,Mahdia,1,35,105000.0,1.0
Appartement,Mahdia,1,101.3,374000.0,2.0
Appartement,Tunis,1,150,350000.0,3.0
Appartement,Tunis,1,182,445000.0,3.0
Appartement,Tunis,2,150,550000.0,6.0
Appartement,Tunis,1,71,3500.0,2.0
Appartement,Tunis,1,98,270000.0,3.0
Appartement,Tunis,2,132,320000.0,3.0
Appartement,Tunis,1,140,355000.0,3.0
Appartement,Nabeul,2,230,660000.0,4.0
Villa,Sfax,3,920,843000.0,4.0
Appartement,Tunis,1,60,164999.0,1.0
Villa,Sfax,3,700,600000.0,4.0
Appartement,Sfax,0,80,120000.0,1.0
Appartement,Tunis,1,1280,4500000.0,2.0
Villa,Ben Arous,1,200,480000.0,3.0
Appartement,Ben Arous,1,98,197000.0,2.0
Appartement,Ben Arous,2,199,420000.0,4.0
Appartement,Ben Arous,3,132,325000.0,4.0
Appartement,Sousse,1,73,250000.0,1.0
Appartement,La Manouba,2,180,330000.0,4.0
Villa,Ben Arous,3,270,530000.0,4.0
Appartement,Ben Arous,2,152,300000.0,3.0
Appartement,Sousse,2,118,326000.0,2.0
Appartement,Tunis,2,127,620000.0,2.0
Appartement,Sousse,1,97,250000.0,1.0
Appartement,Tunis,3,195.5,365000.0,4.0
Appartement,Tunis,1,120,290000.0,2.0
Appartement,Sfax,1,281,365000.0,3.0
Appartement,Sousse,1,114,310000.0,3.0
Villa,Nabeul,2,440,845000.0,4.0
Appartement,Tunis,1,127,465000.0,2.0
Appartement,Tunis,1,107,319000.0,1.0
Appartement,Tunis,1,71,260000.0,1.0
Appartement,Ariana,1,99,401000.0,2.0
Villa,Tunis,3,464,1400000.0,3.0
Appartement,Tunis,1,125,363000.0,1.0
Appartement,Ariana,0,129,410000.0,1.0
Appartement,Ariana,1,77,312000.0,1.0
Appartement,Tunis,0,50,195000.0,1.0
Villa,Ariana,2,300,970000.0,5.0
Appartement,Tunis,0,70,220000.0,1.0
Appartement,Tunis,0,266,679000.0,3.0
Appartement,Tunis,0,59,205000.0,1.0
Appartement,Ariana,0,165,490000.0,3.0
Appartement,Tunis,2,178,470000.0,3.0
Appartement,La Manouba,2,118,242500.0,2.0
Villa,Ben Arous,2,477,680000.0,4.0
Villa,Ben Arous,3,169,480000.0,6.0
Appartement,Tunis,1,94,240000.0,2.0
Villa,Ariana,2,155,1900.0,3.0
Villa,Ben Arous,2,189,490000.0,5.0
Appartement,Ariana,1,300,870000.0,3.0
Appartement,Tunis,1,67,227000.0,1.0
Appartement,Tunis,0,59,234000.0,1.0
Appartement,Tunis,0,59,237500.0,1.0
Appartement,Tunis,0,85,313000.0,2.0
Villa,Ben Arous,3,444,480000.0,4.0
Appartement,Ben Arous,1,53,180000.0,1.0
Appartement,Tunis,1,154,420000.0,2.0
Appartement,Tunis,0,155,294998.0,3.0
Appartement,Ben Arous,1,60,80000.0,1.0
Appartement,Tunis,2,119,313000.0,2.0
Villa,Ariana,2,539,900000.0,6.0
Appartement,Ben Arous,1,104,165000.0,2.0
Villa,Ariana,5,380,980000.0,4.0
Appartement,Ariana,0,140,640000.0,3.0
Appartement,Ben Arous,1,16,40000.0,1.0
Appartement,Ben Arous,1,92,220000.0,2.0
Appartement,Ben Arous,2,153,255000.0,2.0
Appartement,Ben Arous,2,117,165000.0,2.0
Appartement,Ben Arous,1,104,165000.0,2.0
Appartement,Sfax,1,94,207000.0,2.0
Appartement,Ben Arous,1,75,94999.0,2.0
Appartement,Tunis,2,111,355000.0,3.0
Appartement,Ben Arous,1,100,115000.0,2.0
Villa,Ben Arous,3,460,450000.0,6.0
Appartement,Ariana,12,3800,6500000.0,5.0
Appartement,Ben Arous,12,12900,11000001.0,5.0
Appartement,Ben Arous,12,3500,5500000.0,3.0
Villa,Ariana,4,600,595000.0,4.0
Appartement,Ben Arous,2,156,270000.0,3.0
Villa,Nabeul,2,500,650000.0,5.0
Villa,Ben Arous,2,420,360000.0,10.0
Appartement,Ariana,1,50,120000.0,1.0
Appartement,Monastir,1,91,258000.0,2.0
Appartement,Monastir,1,66,185000.0,2.0
Maison,Monastir,2,490,218000.0,2.0
Appartement,Monastir,1,48,152000.0,1.0
Appartement,Monastir,2,132,338000.0,3.0
Villa,Sousse,7,970,3450000.0,6.0
Appartement,Ariana,1,2,201000.0,1.0
Appartement,Tunis,2,165,330000.0,4.0
Appartement,Tunis,0,12,45000.0,1.0
Maison,Ariana,2,90,360000.0,6.0
Appartement,Tunis,3,150,370000.0,3.0
Appartement,Tunis,1,100,125000.0,2.0
Villa,Nabeul,5,300,905000.0,4.0
Villa,Sfax,2,829,850000.0,3.0
Appartement,Sfax,1,1796,735000.0,3.0
Appartement,Tunis,1,105,95000.0,3.0
Appartement,Ariana,2,138,330000.0,3.0
Maison,Tataouine,3,500,700.0,7.0
Villa,Ariana,1,318,200000000.0,2.0
Appartement,Bizerte,1,124,58.0,4.0
Appartement,La Manouba,2,125,230000.0,3.0
Appartement,Ariana,2,138,330000.0,3.0
Appartement,Ben Arous,0,107,260000.0,2.0
Appartement,Tunis,01,40,76000.0,2.0
Appartement,Sfax,1,134,241500.0,2.0
Villa,Ariana,1,420,1111.0,5.0
Maison,Tunis,3,420,1111.0,9.0
Maison,Tunis,1,70,80000.0,4.0
Appartement,Sousse,2,273,370000.0,6.0
Appartement,Tunis,1,110,250000.0,3.0
Appartement,Tunis,1,1135,205000.0,1.0
Appartement,Tunis,1,43,210.0,2.0
Appartement,Sfax,4,520,1300000.0,12.0
Appartement,Tunis,2,130,380.0,3.0
Maison,Ben Arous,3,120,650000.0,5.0
Appartement,Monastir,1,230,110000.0,3.0
Appartement,Monastir,2,210,130000.0,5.0
Appartement,Sfax,02,128,245000.0,2.0
Appartement,Nabeul,1,120,235000.0,2.0
Appartement,Ben Arous,4,300,800.0,12.0
Villa,Nabeul,2,506,740000.0,4.0
Appartement,Nabeul,1,75,300000.0,1.0
Villa,Ariana,1,400,450000.0,5.0
Appartement,Ariana,1,129.5,330.0,2.0
Appartement,Tunis,1,101,200000.0,4.0
Villa,Ariana,3,652,1200000.0,8.0
Maison,Nabeul,3,350,200000.0,6.0
Villa,Ariana,2,306,950000.0,7.0
Appartement,Kairouan,0,139,115.0,0.0
Appartement,Ariana,3,162,640000.0,3.0
Appartement,Ariana,3,165,495000.0,3.0
Villa,Ben Arous,4,600,490000.0,5.0
Appartement,Nabeul,0,99,80.0,3.0
Appartement,Ben Arous,1,65,155000.0,1.0
Appartement,Ariana,1,60,298999.0,1.0
Villa,Ariana,4,514,1289998.0,4.0
Appartement,Ariana,2,118,420000.0,2.0
Villa,Tunis,4,510,1100000.0,8.0
Appartement,Ariana,1,50,159998.0,1.0
Villa,Tunis,2,467,1550000.0,6.0
Appartement,Ariana,1,58,199999.0,0.0
Appartement,Ariana,2,100,250000.0,2.0
Appartement,Ariana,3,195,449000.0,4.0
Appartement,Ariana,2,210,650000.0,4.0
Appartement,Ariana,2,190,810000.0,3.0
Appartement,Ariana,2,214,635000.0,3.0
Appartement,Tunis,3,247,820000.0,4.0
Villa,Ariana,2,227,970000.0,4.0
Appartement,Ariana,2,228,650000.0,3.0
Appartement,Tunis,1,57,210000.0,0.0
Appartement,Sousse,0,1,189000.0,2.0
Appartement,Ariana,2,188,830000.0,3.0
Villa,Tunis,2,510,1550000.0,4.0
Appartement,Ariana,2,228,650000.0,3.0
Villa,Nabeul,2,380,980000.0,4.0
Appartement,Ben Arous,2,120,270000.0,3.0
Appartement,Tunis,1,100,250000.0,2.0
Appartement,Sousse,1,75,110000.0,2.0
Maison,Nabeul,0,275,650000.0,0.0
Appartement,Ben Arous,1,135,235000.0,3.0
Appartement,Ben Arous,1,100,198000.0,1.0
Appartement,Tunis,1,95,150000.0,2.0
Appartement,Ariana,1,125,389000.0,1.0
Appartement,Ben Arous,1,116,1200.0,2.0
Villa,Nabeul,2,316,950000.0,3.0
Appartement,Tunis,1,96,350000.0,3.0
Appartement,Ariana,1,100,332499.0,2.0
Maison,Sousse,2,250,295000.0,4.0
Appartement,Nabeul,1,80,169000.0,2.0
Appartement,Ariana,0,0,2500.0,0.0
Villa,Nabeul,3,245,670000.0,3.0
Appartement,Tunis,1,120,220000.0,5.0
Appartement,Tunis,1,150,340000.0,3.0
Villa,Nabeul,3,300,890000.0,4.0
Maison,Ariana,2,480,440000.0,4.0
Villa,Tunis,1,120,120000.0,5.0
Appartement,Tunis,1,70,65000.0,2.0
Villa,Nabeul,2,700,735000.0,3.0
Appartement,Nabeul,1,60,240000.0,1.0
Villa,Tunis,4,300,500000.0,4.0
Appartement,La Manouba,1,100,260000.0,2.0
Appartement,La Manouba,1,120,280000.0,2.0
Appartement,La Manouba,1,90,180000.0,2.0
Maison,Sousse,2,112,230000.0,6.0
Appartement,Sousse,1,97,382180.0,2.0
Appartement,Sousse,1,226,490000.0,3.0
Villa,Sousse,3,230,480000.0,4.0
Appartement,Sousse,2,133,526000.0,3.0
Maison,Sousse,2,203,219000.0,5.0
Appartement,Sousse,1,126,300000.0,2.0
Appartement,Tunis,2,98,250000.0,2.0
Appartement,Tunis,2,154,370000.0,3.0
Appartement,Tunis,1,100,280000.0,4.0
Appartement,Tunis,0,132,313000.0,2.0
Appartement,Ben Arous,1,85,210000.0,1.0
Appartement,Ben Arous,1,160,198000.0,2.0
Appartement,Nabeul,1,75,72000.0,1.0
Appartement,Sousse,1,100,600.0,3.0
Maison,Nabeul,1,280,380.0,5.0
Appartement,Tunis,1,58,195.0,1.0
Villa,Sousse,2,1220,1400000.0,7.0
Villa,Sousse,5,309,700000.0,7.0
Appartement,Nabeul,1,100,361499.5,2.0
Appartement,Nabeul,1,100,195000.0,2.0
Appartement,Tunis,2,138,280000.0,3.0
Appartement,Sousse,1,163,310000.0,2.0
Appartement,Sousse,1,163,310000.0,2.0
Villa,Béja,2,270,320.0,6.0
Appartement,Tunis,1,72,320000.0,1.0
Appartement,Ariana,1,84,290000.0,2.0
Appartement,Nabeul,1,93,361499.5,2.0
Appartement,Tunis,2,160,480000.0,3.0
Appartement,Tunis,2,120,335000.0,2.0
Maison,Tunis,3,260,320000.0,5.0
Appartement,Tunis,2,147.6,370000.0,3.0
Villa,Bizerte,2,400,679999.0,3.0
Appartement,Ariana,2,146,340000.0,3.0
Appartement,Sousse,2,85,300000.0,2.0
Appartement,Ariana,1,97,285000.0,2.0
Appartement,Nabeul,1,100,140000.0,1.0
Appartement,Tunis,2,145,280000.0,3.0
Appartement,Tunis,1,107,255000.0,2.0
Appartement,Tunis,2,140,320000.0,3.0
Appartement,Tunis,2,145,280000.0,3.0
Appartement,Tunis,1,109,215000.0,2.0
Appartement,Sousse,1,105,373000.0,2.0
Appartement,Sousse,2,71,210000.0,5.0
Appartement,Sousse,1,82,180000.0,2.0
Appartement,Ariana,1,1,4200.0,1.0
Appartement,Nabeul,3,200,361499.5,2.0
Villa,Tunis,5,800,849500.0,6.0
Appartement,Tunis,1,127,400000.0,2.0
Villa,Ariana,3,380,989999.0,4.0
Appartement,Tunis,7,150,449998.0,5.0
Appartement,Ariana,2,113,335000.0,2.0
Appartement,Tunis,1,55,184997.0,1.0
Maison,Ben Arous,1,100,130000.0,4.0
Appartement,Nabeul,1,100,220000.0,2.0
Appartement,Sousse,1,138,187000.0,4.0
Maison,Monastir,2,173,620.0,3.0
Appartement,Nabeul,1,300,361499.5,2.0
Appartement,Nabeul,1,68,277000.0,1.0
Appartement,Tunis,1,80,250000.0,2.0
Appartement,Nabeul,2,500,235000.0,3.0
Appartement,Mahdia,01,96,276000.0,2.0
Villa,Nabeul,2,535,910.0,4.0
Appartement,Sousse,1,94,218000.0,2.0
Villa,Sousse,3,640,1900000.0,6.0
Appartement,Sousse,1,39,165000.0,1.0
Appartement,Sfax,1,000,1900.0,1.0
Appartement,Ben Arous,1,114,170.0,2.0
Villa,Ben Arous,3,436,790000.0,7.0
Maison,Nabeul,3,280,1350000.0,6.0
Appartement,Sousse,2,140,359600.0,3.0
Appartement,Nabeul,1,74,270000.0,1.0
Maison,Sousse,1,140,155000.0,2.0
Appartement,Sousse,1,143,380000.0,3.0
Villa,Nabeul,2,700,590000.0,3.0
Maison,Nabeul,2,120,170000.0,3.0
Maison,Nabeul,2,740,350000.0,3.0
Appartement,Nabeul,1,70,270000.0,1.0
Appartement,Ben Arous,2,81,255000.0,2.0
Appartement,Ariana,1,40,120000.0,1.0
Appartement,Ben Arous,1,80,165000.0,2.0
Appartement,Tunis,1,35,313000.0,2.0
Villa,Tunis,3,241,550000.0,6.0
Appartement,Nabeul,0,153,384997.0,3.0
Villa,Nabeul,0,280,724999.0,4.0
Villa,Nabeul,2,269,620000.0,3.0
Villa,Nabeul,0,364,1380000.0,4.0
Appartement,Nabeul,0,190,510000.0,3.0
Appartement,Nabeul,0,140,400000.0,2.0
Villa,Ariana,2,280,590000.0,4.0
Appartement,Tunis,2,214,550000.0,4.0
Villa,Monastir,3,1200,4200000000.0,8.0
Appartement,Tunis,1,120,335000.0,2.0
Appartement,Ariana,2,124,348000.0,2.0
Appartement,Ariana,3,170,595000.0,4.0
Appartement,Nabeul,1,97,400000.0,2.0
Villa,Sousse,1,600,850000.0,6.0
Villa,Nabeul,2,220,650000.0,4.0
Appartement,Sfax,2,116,250000.0,3.0
Maison,Ben Arous,2,500,990000.0,6.0
Appartement,Sousse,1,169,310.0,3.0
Appartement,Sousse,1,63,210.0,1.0
Maison,Ariana,2,350,360000.0,6.0
Maison,Ben Arous,1,135,120000.0,4.0
Appartement,Ariana,1,100,1500.0,2.0
Appartement,Tunis,1,80,105000.0,2.0
Appartement,Ben Arous,1,100,100.0,2.0
Villa,Sousse,3,1200,2500000.0,6.0
Appartement,Tunis,1,100,215000.0,3.0
Villa,Nabeul,1,500,300000.0,2.0
Appartement,Sousse,1,75,225000.0,3.0
Appartement,Sousse,1,97,420000.0,3.0
Appartement,Ariana,1,250,120.0,1.0
Villa,Ariana,2,319,450000.0,4.0
Appartement,Sousse,2,120,1900.0,2.0
Appartement,Sousse,1,1750,210000.0,1.0
Appartement,Nabeul,1,101,330000.0,3.0
Appartement,Sfax,1,140,750.0,1.0
Appartement,Tunis,1,93,110000.0,4.0
Appartement,Ben Arous,1,82,120000.0,3.0
Appartement,Tunis,1,128,240000.0,2.0
Appartement,Mahdia,1,82.11,243000.0,1.0
Appartement,Ben Arous,2,140,175000.0,4.0
Appartement,Ariana,1,134,320000.0,2.0
Appartement,Nabeul,2,98,400000.0,1.0
Appartement,Tunis,1,150,3500.0,4.0
Appartement,Tunis,1,80,250000.0,2.0
Appartement,Ben Arous,1,90,130000.0,2.0
Appartement,Ariana,3,300,638999.0,3.0
Appartement,Ariana,4,280,800000.0,6.0
Appartement,Ariana,1,109,230000.0,2.0
Appartement,Ariana,1,55,179000.0,2.0
Appartement,Tunis,2,109,724000.0,2.0
Appartement,Ariana,1,60,190000.0,1.0
Appartement,Tunis,1,65,227000.0,1.0
Maison,Nabeul,3,90,250.0,4.0
Villa,Sfax,2,800,450000.0,9.0
Appartement,Mahdia,1,83,170.0,2.0
Appartement,Ariana,1,40,185000.0,1.0
Maison,Nabeul,2,255,95000.0,3.0
Appartement,Ariana,2,150,450000.0,2.0
Appartement,Mahdia,1,120,240000.0,3.0
Appartement,Monastir,1,75.4,259000.0,2.0
Appartement,Mahdia,1,157,240000.0,3.0
Appartement,Nabeul,1,230,185000.0,4.0
Villa,Ariana,3,550,790000.0,6.0
Appartement,Monastir,1,145,198000.0,3.0
Appartement,Sfax,1,1,100000000.0,1.0
Appartement,Tunis,1,100,355000.0,3.0
Appartement,Nabeul,1,95,1100.0,2.0
Villa,Ariana,2,545,780000.0,4.0
Villa,Nabeul,2,1000,650000.0,7.0
Maison,Nabeul,1,269,400000.0,3.0
Appartement,Nabeul,2,117,520000.0,3.0
Appartement,Sousse,1,100,165000.0,2.0
Appartement,Tunis,1,300,260000.0,2.0
Maison,Nabeul,2,230,180000.0,3.0
Appartement,Nabeul,2,290,210000.0,2.0
Maison,Tunis,1,140,220000.0,4.0
Appartement,Tunis,1,132,320000.0,3.0
Appartement,Nabeul,1,117.76,361499.5,2.0
Appartement,Sousse,0,71,350000.0,1.0
Villa,Nabeul,2,700,580000.0,3.0
Villa,Ben Arous,4,277,1233.0,12.0
Maison,Ben Arous,2,256,425000.0,4.0
Appartement,Ben Arous,2,116,260000.0,2.0
Villa,Ben Arous,2,363,545000.0,4.0
Appartement,Ben Arous,1,156,270000.0,3.0
Appartement,Ben Arous,1,79,135000.0,2.0
Appartement,Tunis,1,85,400000.0,1.0
Appartement,Ariana,1,100,120.0,4.0
Villa,Sousse,4,404,680000.0,6.0
Appartement,Sousse,7,250,1250000.0,7.0
Appartement,Ben Arous,1,67,140000.0,2.0
Appartement,Ben Arous,2,168,440000.0,4.0
Appartement,Ben Arous,1,85,150000.0,2.0
Appartement,Ben Arous,1,75,160000.0,2.0
Villa,Ben Arous,4,410,700000.0,5.0
Appartement,Ben Arous,2,136,255000.0,3.0
Appartement,Ben Arous,1,72,110000.0,2.0
Villa,Ben Arous,1,373,540000.0,4.0
Appartement,Sousse,0,110,265000.0,2.0
Appartement,Sousse,0,80,282000.0,2.0
Villa,Ben Arous,1,373,540000.0,4.0
Appartement,Sousse,0,110,265000.0,2.0
Appartement,Sousse,0,80,282000.0,2.0
Appartement,Ben Arous,1,70,120000.0,2.0
Appartement,Ariana,1,70,185000.0,2.0
Appartement,Tunis,3,200,680000.0,5.0
Appartement,Tunis,2,150,549999.0,6.0
Appartement,Nabeul,1,114,400000.0,2.0
Appartement,Tunis,1,55,179998.0,1.0
Appartement,Ariana,1,73,200000.0,1.0
Appartement,Tunis,1,117,3500.0,2.0
Villa,Sousse,0,260,470000.0,3.0
Villa,Jendouba,1,802,550000.0,3.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Villa,Ariana,2,420,980000.0,4.0
Maison,Nabeul,2,500,180000.0,3.0
Appartement,Tunis,1,112,530000.0,2.0
Appartement,Ben Arous,2,312,240000.0,4.0
Appartement,Ben Arous,2,102,250000.0,2.0
Appartement,Sfax,3,171,360.0,4.0
Appartement,La Manouba,1,112,225000.0,3.0
Appartement,Ben Arous,1,59,80000.0,1.0
Appartement,Ben Arous,2,121,270000.0,3.0
Appartement,Tunis,1,92,260000.0,2.0
Appartement,Nabeul,2,114,400000.0,2.0
Appartement,Ben Arous,2,115,170000.0,3.0
Appartement,Nabeul,2,130,470000.0,2.0
Appartement,Tunis,2,103,400000.0,2.0
Appartement,Sousse,1,76,229500.0,2.0
Appartement,Nabeul,2,105,370000.0,3.0
Villa,Nabeul,3,400,905000.0,4.0
Villa,Nabeul,4,329,1100000.0,3.0
Appartement,Ariana,2,148,385000.0,2.0
Villa,Ben Arous,4,562,830000.0,8.0
Appartement,Ben Arous,1,105,294999.0,2.0
Appartement,Tunis,1,70,245000.0,1.0
Appartement,Ariana,1,57,206000.0,1.0
Villa,Ariana,0,457,950000.0,3.0
Villa,Ariana,3,400,980000.0,4.0
Appartement,Ariana,3,182,385000.0,3.0
Villa,Sfax,3,1680,800000.0,3.0
Appartement,Sousse,2,113,392000.0,2.0
Appartement,Ariana,3,300,850000.0,5.0
Appartement,Ben Arous,1,10000,548.0,1.0
Appartement,Tunis,1,400,3500000.0,1.0
Appartement,Sousse,3,145,389999.0,3.0
Appartement,Tunis,2.5,141,1400.0,3.0
Appartement,Tunis,1,116,280000.0,2.0
Appartement,Tunis,1,132.5,550000.0,2.0
Appartement,Tunis,1,209,430000.0,1.0
Villa,Ben Arous,1,500,990000.0,1.0
Appartement,Tunis,1,120,370000.0,2.0
Appartement,Ariana,1,169,480000.0,1.0
Villa,Ben Arous,1,420,1100000.0,3.0
Appartement,Tunis,1,110,200000.0,3.0
Appartement,Tunis,1,1,180000.0,2.0
Appartement,Ariana,1,183,400000.0,3.0
Appartement,Tunis,1,236,365000.0,4.0
Appartement,Ariana,1,170,320000.0,3.0
Maison,Tunis,1,120,130000.0,2.0
Appartement,Sfax,1,600,950000.0,1.0
Appartement,Tunis,1,456,8000.0,2.0
Appartement,Tunis,1,103,572000.0,2.0
Maison,Bizerte,1,110,165000.0,4.0
Appartement,Tunis,1,330,280000.0,1.0
Appartement,Tunis,1,312,205000.0,1.0
Appartement,Tunis,1,1,395000.0,4.0
Appartement,Ariana,1,129,495000.0,4.0
